Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
RHBDF2	17	76470891	76501790
KRT28	17	40792203	40799959
PPP1R10	CHR_HSCHR6_MHC_DBB_CTG1	30590637	30608849
ESCO1	18	21529281	21600884
MAMDC4	9	136850943	136860799
ITIH1	3	52777592	52792068
ISLR	15	74173671	74176872
GPNMB	7	23235967	23275108
SBF2	11	9778667	10294207
FBXO46	19	45710629	45730904
MYOM3	1	24056035	24112175
CDKL1	14	50329404	50416461
UBAP1	9	34179005	34252523
MATN2	8	97868840	98036716
SUMO2	17	75165586	75182983
SNX15	11	65027408	65040572
C9orf139	9	137027464	137037957
APLN	X	129645259	129654937
CLEC6A	12	8455926	8478330
PHPT1	9	136848724	136851027
GLTP	12	109850943	109880488
FAM181A	14	93918894	93929608
CSAG1	X	152727484	152733735
MYO5C	15	52192322	52295798
PRR4	CHR_HSCHR12_3_CTG2	10845849	11167847
CSRNP1	3	39141855	39154562
CELA2A	1	15456728	15472091
SLC22A13	3	38265812	38278315
PIKFYVE	2	208266267	208358751
GAB3	X	154675249	154751583
KDSR	18	63327726	63367510
CFHR2	1	196943772	196959226
LILRB5	CHR_HSCHR19_4_CTG3_1	54251016	54257914
UGP2	2	63840940	63891562
CLDN25	11	113779747	113780500
SLC22A25	11	63163776	63229652
ACER3	11	76860867	77026797
OR13C4	9	104526253	104527209
ADH1A	4	99276367	99291028
KCTD14	11	78015715	78046191
IL17RE	3	9902612	9916402
RP11-382A20.3	15	83112738	83208018
SLC26A4	7	107660635	107717809
FAM135A	6	70412941	70561174
RSF1	11	77659996	77821017
CMIP	16	81445170	81711762
PARP9	3	122527924	122564577
TMCO1	1	165724293	165827755
C7orf72	7	50096036	50159830
PKMYT1	16	2968024	2980539
NDUFA8	9	122144058	122159819
PFDN6	CHR_HSCHR6_MHC_MCF_CTG1	33459645	33468744
NOTCH3	19	15159038	15200981
SIGLEC6	19	51519525	51531856
SCLY	2	238060889	238099413
THG1L	5	157731197	157741448
OR6Q1	11	58030930	58031931
LILRA3	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352
PPP1R15A	19	48872392	48876057
WDR1	4	10074339	10116949
SPANXN4	X	143025918	143034702
MTSS1	8	124550790	124728429
MTCP1	X	155061622	155147937
POU2AF1	11	111352252	111455630
SERPINB3	18	63637719	63661963
ZNF347	19	53124072	53159075
TEX12	11	112167372	112172559
PDE6D	2	231732425	231786272
RAB8A	19	16111629	16134234
NYNRIN	14	24398786	24419288
TPCN1	12	113221050	113298585
FBRSL1	12	132489551	132585188
FNDC9	5	157341600	157345721
FAM132A	1	1242446	1246722
DNAJB5	9	34989641	34998900
CCR9	3	45886504	45903177
C18orf21	18	35972083	35979286
TMC7	16	18983934	19063942
ZNF575	19	43525497	43536130
DYNLT3	X	37836757	37847637
PIGY	4	88521573	88521789
SLC27A5	19	58479512	58512413
SPSB4	3	141051402	141148611
MUC16	19	8848844	8981342
ENOX2	X	130623369	130903317
HMX2	10	123148122	123150672
EAF2	3	121835183	121886526
ACTA1	1	229431245	229434098
RPP21	CHR_HSCHR6_MHC_APD_CTG1	30409034	30410787
UFM1	13	38349849	38363619
PLGRKT	9	5357973	5437878
FBXO4	5	41925254	41941743
ZNF260	19	36510695	36528660
CES2	16	66934444	66945096
HMX3	10	123135962	123137741
S100PBP	1	32816767	32858879
ZBBX	3	167240287	167381346
GABRG3	15	26971282	27541991
FMNL2	2	152335237	152649834
PRKAR2B	7	107044649	107161811
KIR3DL3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54724478	54736626
LILRA4	CHR_HSCHR19LRC_PGF2_CTG3_1	54316049	54346292
C11orf94	11	45906513	45907282
FCRL5	1	157513377	157552520
TMEM168	7	112762382	112790592
USP39	2	85602856	85649282
GPR34	X	41688973	41697277
NR2F1	5	93583337	93594615
ZDHHC21	9	14611071	14693471
CD28	2	203706475	203738912
TXN2	22	36467036	36482030
NDST3	4	118033618	118258648
SIRPB2	20	1470741	1491587
NCR1	CHR_HSCHR19LRC_PGF1_CTG3_1	54836140	54846123
THBS1	15	39581079	39599466
GRM2	3	51707070	51718613
MTHFD2L	4	74114174	74303099
BSCL2	11	62690275	62709845
LRP1B	2	140231423	142131701
HERC4	10	67921899	68075348
PML	15	73994673	74047812
MYEF2	15	48134631	48178517
MED13	17	61942605	62065282
TBX5	12	114353931	114408442
ODC1	2	10439968	10448504
TSTA3	8	143612618	143618048
PRDX4	X	23664262	23686399
KRBOX1	3	42809483	42942792
FAM196B	5	169864264	169980740
TADA2B	4	7041899	7057952
PRR23A	3	139005468	139006268
LENEP	1	154993586	154994315
TMEM169	2	216081866	216102783
S100Z	5	76850001	76921650
PLCG1	20	41136960	41196801
C2	CHR_HSCHR6_MHC_COX_CTG1	31885329	31933220
MTMR9	8	11284416	11328146
TWIST2	2	238848032	238910543
PRR23C	3	139042102	139044892
BTBD6	14	105248490	105251093
LSM14B	20	62122461	62135378
BAIAP2L2	22	38084889	38110670
SLC26A11	17	80219699	80253500
IER2	19	13150415	13154908
NCOA3	20	47501902	47656877
CYP4F3	19	15615617	15662825
VARS2	CHR_HSCHR6_MHC_DBB_CTG1	30898953	30917183
AMHR2	12	53423855	53431534
UBD	CHR_HSCHR6_MHC_QBL_CTG1	29555518	29559832
FXYD5	19	35154730	35169883
HGF	7	81699006	81770438
AGPAT2	9	136673143	136687423
ASL	7	66075798	66093558
OR51B4	11	5301014	5301996
TRAM1	8	70573442	70608387
BNIPL	1	151036570	151047600
IQGAP2	5	76403249	76708132
OR8K3	CHR_HG142_HG150_NOVEL_TEST	56318307	56319245
COPS5	8	67043079	67083783
DDX20	1	111755245	111768016
PPAT	4	56393362	56435615
ZNF17	19	57411163	57421939
HBG1	11	5248083	5249892
SETD7	4	139495941	139606699
ACSM2A	16	20451461	20487667
PPP1CC	12	110719680	110742939
CNTD1	17	42798792	42811587
TMEM144	4	158201604	158255411
TMED2	12	123584531	123598577
DAB1	1	56994778	58546734
CXCL17	19	42428288	42443048
HLA-DRA	6	32439842	32445046
ZAP70	2	97713560	97739862
ATAD1	10	87751512	87841343
ZNF808	19	52527652	52564464
ST7L	1	112523518	112620825
ZBTB22	6	33314406	33317942
NT5M	17	17303335	17347663
RASGRP3	2	33436324	33564750
SHC1	1	154962298	154974395
MTFR1	8	65644734	65771261
MICA	6	31399784	31415315
GRK5	10	119207589	119459742
UTP14A	X	129906121	129929761
ZNF311	CHR_HSCHR6_MHC_APD_CTG1	28994816	29005348
ALKBH2	12	109088188	109093631
DDX56	7	44565417	44575051
CD34	1	207880972	207911402
ABCC6	16	16148928	16223522
RPL30	8	98024851	98046469
STK19	CHR_HSCHR6_MHC_QBL_CTG1	31961552	31971824
SBK2	19	55529733	55537089
RRP36	6	43021645	43034156
CYP27C1	2	127184120	127220078
OR9A2	CHR_HSCHR7_2_CTG6	143087345	143088382
VARS2	CHR_HSCHR6_MHC_QBL_CTG1	30897815	30916043
HABP2	10	113550837	113589602
KANSL1	CHR_HSCHR17_1_CTG5	45871009	46068204
TBX15	1	118883046	118989556
SLC13A4	7	135681237	135729258
KIR2DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54769801	54784302
PANK3	5	168548495	168579600
EMD	X	154379197	154381523
OR5H1	3	98132698	98133639
FAM65B	6	24804282	25042168
PLEKHN1	1	966497	975865
SLC9A6	X	135985424	136047269
PIGN	18	62043567	62187118
GREM1	15	32717974	32745107
ZNF74	22	20394115	20408461
PTGFRN	1	116910057	116990358
NUDT7	16	77722492	77742260
EIF4H	7	74174245	74197101
PITPNM1	11	67491768	67506263
CYP11B2	8	142910559	142917843
ZWILCH	15	66504959	66550128
TOR1A	9	129812944	129824134
PRR21	2	240041813	240042982
TMEM171	5	73120292	73131817
HLA-F	CHR_HSCHR6_MHC_QBL_CTG1	29720222	29735978
CACNG5	17	66835117	66885486
FAM171B	2	186693971	186765965
NCR2	6	41335655	41350887
NUAK1	12	106063340	106140033
IDH2	15	90083045	90102504
HBD	11	5232678	5235370
EFNA5	5	107376889	107670895
ZNF827	4	145757627	145938635
ANXA8L1	10	46375627	46537864
TCEAL7	X	103330196	103332326
CLDN24	4	183321764	183322426
TCF12	15	56918623	57299281
SRP14	15	40035739	40039188
KIF20B	10	89701610	89774939
POLL	10	101578882	101588270
KRTAP6-1	21	30613431	30613930
RPS6KA2	6	166409364	166906451
EFNB2	13	106489731	106535114
EMC3	3	9962537	10011116
NIPSNAP3B	9	104764157	104777457
SKIV2L	CHR_HSCHR6_MHC_QBL_CTG1	31949457	31960128
SMPDL3A	6	122789049	122809720
ZZZ3	1	77562416	77683419
IL17F	6	52236681	52244537
PHAX	5	126600268	126627252
DPP7	9	137110542	137115177
KLHL9	9	21329671	21335380
EFCAB2	1	244969705	245127164
FYN	6	111660332	111873452
FIGF	X	15345591	15384376
CXorf38	X	40626921	40647554
PRRX2	9	129665641	129722674
SPATS2	12	49366584	49527424
EIF4E1B	5	176630682	176646641
DOCK4	7	111726110	112206411
POC5	5	75674124	75717481
OLFML3	1	113979391	114035572
ITIH3	3	52794768	52809009
KCTD16	5	144170832	144485686
TMEM167A	5	83052846	83077863
NPTXR	22	38818452	38843982
PFN3	5	177400107	177400636
KRT12	17	40861303	40867210
TCEAL3	X	103607451	103629690
ANTXR1	2	69013178	69249327
RFXAP	13	36819224	36829104
FAM71A	1	212624474	212626778
EPHA8	1	22563564	22603594
HLA-A	CHR_HSCHR6_MHC_MANN_CTG1	29930208	29934849
HECA	6	139135112	139180802
HARBI1	11	46602861	46617909
HELB	12	66302545	66347645
LST1	6	31586124	31588909
BRIX1	5	34915376	34925996
XAGE3	X	52862525	52868068
HN1L	16	1678256	1702280
LONP1	19	5691834	5720572
STAB1	3	52495338	52524495
ACOT1	14	73537114	73543794
APAF1	12	98645141	98735433
TNPO2	19	12699194	12724011
CD2BP2	16	30350766	30355361
C6orf15	CHR_HSCHR6_MHC_MANN_CTG1	31156133	31157469
WDR6	3	49007062	49015953
REXO4	9	133406059	133418096
ARL6IP6	2	152717893	152761253
PCDHB14	5	141222932	141227759
ZFP57	CHR_HSCHR6_MHC_APD_CTG1	29672598	29673248
SLC26A3	7	107765467	107803225
ZNF189	9	101398873	101410660
FASN	17	82078333	82098332
RPP25L	9	34610486	34612104
RPS6	9	19375715	19380254
TSPAN33	7	129144892	129169697
PRRT1	CHR_HSCHR6_MHC_DBB_CTG1	32124129	32130145
LRRC73	6	43506969	43510686
CGREF1	2	27098889	27119115
MGAM	7	141907813	142106747
PPP3CC	8	22440819	22541142
ABL2	1	179099327	179229684
USP45	6	99432379	99521728
EGFL6	X	13569605	13633575
TXK	4	48066393	48134256
SIGLEC7	19	51142299	51153526
TFPI2	7	93885397	93890991
TCOF1	5	150357639	150400308
TUBB2B	6	3224261	3231730
PEG3	19	56810083	56840728
KRT15	17	41513743	41522529
PITHD1	1	23778405	23788232
COPB1	11	14443440	14500027
OR9A4	7	141918817	141919909
PHF1	CHR_HSCHR6_MHC_QBL_CTG1	33339192	33340037
CNTRL	9	121074863	121177610
TMEM218	11	125096545	125111763
SNAPC4	9	136375577	136398797
KNCN	1	46545644	46551527
NDUFA13	19	19515736	19529054
RNASE3	14	20891399	20892348
KLRG2	7	139452690	139483712
PPP1R14C	6	150143076	150250357
ABRACL	6	139028682	139043302
HOXC5	12	54032853	54035358
UGT2B4	4	69480165	69526014
ASUN	12	26905181	26938326
YPEL2	17	59331689	59401729
HLA-C	6	31268749	31272130
PGBD4	15	34102073	34108684
SUN5	20	32983773	33004433
PMVK	1	154924734	154936991
KIF2B	17	53822901	53825213
FDX1	11	110429883	110464881
SRGAP3	3	8980591	9363053
ONECUT3	19	1752373	1780988
SFTPC	8	22156913	22164479
RGP1	9	35749287	35758575
DDX4	5	55738017	55817157
MPPE1	18	11882622	11909223
SLC4A9	5	140360202	140375143
GRIK5	19	41998321	42069498
CCDC74B	2	130139287	130145134
TFPT	CHR_HSCHR19_4_CTG3_1	54107066	54115801
KCTD12	13	76880166	76886390
TAP1	CHR_HSCHR6_MHC_QBL_CTG1	32773904	32782673
MRPS7	17	75261674	75266373
OR6B1	7	144003929	144004983
PF4	4	73981077	73982124
MLN	6	33794673	33804011
NECAP1	12	8082211	8097771
TBXAS1	7	139777051	140020325
GPR155	2	174431571	174487094
NDUFA6	CHR_HSCHR22_2_CTG1	42085525	42090955
RASSF1	3	50329782	50340980
GLIPR2	9	36136536	36163913
COL15A1	9	98943179	99070792
HS6ST1	2	128236716	128318577
ERCC8	5	60873831	60945073
DYRK1B	19	39825350	39834201
DSN1	20	36751791	36773818
MMP15	16	58025566	58046901
DSEL	CHR_HSCHR18_2_CTG2	67576031	67586429
TMED9	5	177592158	177596124
SGCE	7	94585230	94656209
B4GALNT2	17	49132460	49176840
SHF	15	45167214	45201175
C6orf48	6	31834608	31839766
LNP1	3	100401193	100456319
RNF130	5	179911651	180072118
PNMA3	X	153056409	153060467
INHBB	2	120346143	120351808
SOX5	12	23529500	23951032
MCCD1	CHR_HSCHR6_MHC_MANN_CTG1	31568197	31569712
GSDMC	8	129748196	129786888
MOGAT2	11	75717819	75732958
OR8H1	CHR_HG142_HG150_NOVEL_TEST	56290053	56291090
DCAF4L2	8	87870743	87874068
HEXIM2	17	45160700	45170040
TPD52	8	80034745	80231232
C1orf21	1	184387058	184629020
APOA4	11	116820700	116823306
SGPP1	14	63684214	63728039
WDR70	5	37379212	37753435
LAT	16	28984826	28990783
CRYGA	2	208160740	208163576
ENPP5	6	46159187	46170971
TIFA	4	112274542	112285903
ATCAY	19	3879864	3928079
TRAM1L1	4	117083554	117085576
SRPX	X	38149336	38220924
GIP	17	48958554	48968596
C1orf122	1	37806979	37809454
COMMD8	4	47450796	47463719
STX16	20	58651253	58679526
FAM43B	1	20552439	20555010
RAB11B	19	8389981	8404434
PARD6A	16	67660946	67662778
SPPL2A	15	50702266	50765808
KIAA0355	CHR_HSCHR19_2_CTG3_1	34351514	34355586
ENDOU	12	47709734	47725567
MTDH	8	97644179	97728770
PROCR	20	35172073	35216240
EMB	5	50396192	50443248
PCYOX1L	5	149358007	149369653
CDX4	X	73447254	73455245
ZGPAT	20	63707465	63736142
ZNF836	19	52153864	52171643
NUP214	9	131125561	131234670
ARHGAP25	2	68679601	68826833
RPS25	11	119015712	119018691
ADIPOQ	3	186842690	186858463
STRADA	17	63702832	63741970
ATP6V1G2	CHR_HSCHR6_MHC_MANN_CTG1	31583922	31586304
MAP3K4	6	160991727	161117385
PNLIPRP1	10	116590385	116609175
ATP2C2	16	84368527	84464187
UNC119B	12	120710435	120723640
CLTA	9	36190856	36304781
VPS28	8	144423601	144428563
EGFL8	CHR_HSCHR6_MHC_MCF_CTG1	32241011	32244709
BTBD9	6	38168451	38640148
POLR2H	3	184361718	184368596
CDC34	19	531712	542092
POM121L12	7	53035642	53036924
NLRP2	CHR_HSCHR19_4_CTG3_1	54961245	55009257
OR3A1	17	3291635	3292600
NOTUM	17	81952507	81961840
OR2H2	CHR_HSCHR6_MHC_QBL_CTG1	29587374	29588957
PKLR	1	155289839	155301434
C6orf15	6	31111223	31112559
L1CAM	X	153861514	153909223
HOXB7	17	48607227	48633572
SGSM1	22	24806169	24927578
EPB42	15	43106225	43221283
FAM221B	9	35816391	35828747
NR4A1	12	52022832	52059507
ATR	3	142449235	142578826
ZIC3	X	137566142	137577691
STX1B	16	30989256	31010628
C19orf47	19	40319536	40348527
RAB3IP	12	69738681	69823204
HOXB8	17	48611377	48614939
PDYN	20	1978757	1994285
SLC25A32	8	103398635	103415189
SLC12A8	3	125082636	125212864
NFASC	1	204828651	205022822
GPR22	7	107470018	107475659
CDK5RAP2	9	120388869	120580170
PPIH	1	42658425	42676758
PKD2	4	88007668	88077777
TTC1	5	160009113	160065543
TAF3	10	7818504	8016627
NRXN3	14	78170373	79868290
KIR3DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54786234	54830756
ERLIN1	10	100150094	100188334
MANF	3	51385047	51389397
HPDL	1	45326905	45328533
TULP3	12	2877223	2941140
VARS	CHR_HSCHR6_MHC_MCF_CTG1	31853814	31872249
HYLS1	11	125883614	125900648
SLC22A6	11	62936385	62984983
FABP12	8	81524981	81531378
ZFP57	6	29672392	29681110
GHSR	3	172445133	172448456
TRIM34	11	5619764	5644398
DNAJC2	7	103312474	103344873
KIAA1919	6	111259348	111271167
RING1	CHR_HSCHR6_MHC_QBL_CTG1	33137310	33141537
ARL5B	10	18659405	18681639
LILRB2	19	54238904	54281184
KIR3DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54786268	54830789
OPRK1	8	53225716	53251697
ELSPBP1	19	47994651	48025153
UBQLN1	9	83659963	83708203
CAPZB	1	19338776	19485539
TRAF1	9	120902393	120929173
CASP5	11	104994235	105023168
ENAH	1	225486835	225653142
FADS2	11	61792980	61867354
YDJC	22	21628089	21630064
DDI2	1	15617500	15669044
OR10A3	11	7938534	7939594
SNPH	20	1266316	1309328
GOLGA3	12	132768909	132828858
GADL1	3	30726200	30894765
FAM198A	3	42979267	43060211
EAPP	14	34515929	34539711
DIS3L2	2	231961245	232344350
MCEE	2	71109684	71130239
MBD1	18	50266882	50281774
NPAS2	2	100820152	100996829
GYS1	19	48968125	48993310
SPAG9	17	50962174	51120865
SNRNP35	12	123457641	123473154
PYROXD1	12	21437615	21471252
ANKS4B	16	21233665	21253845
KLK11	19	51022216	51028039
MIER3	5	56919602	56971675
MBP	18	76978827	77133683
PID1	2	228850526	229271285
TIMD4	5	156919282	156963255
PATE4	11	125833316	125840069
MMP16	8	88032009	88328025
CCDC150	2	196639554	196763490
CCDC7	10	32567723	32882874
RHBDL1	16	675666	678268
ATXN3L	X	13318236	13319952
HLA-DOB	CHR_HSCHR6_MHC_MCF_CTG1	32846263	32850548
ERAL1	17	28854938	28861067
CCDC9	19	47255980	47271953
HOOK2	19	12763003	12872740
GTF2H4	CHR_HSCHR6_MHC_DBB_CTG1	30898895	30904817
PEA15	1	160205337	160215376
PDZD11	X	70286595	70290514
ATP6V1G2	6	31544462	31548427
KIR2DL1	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54814247	54828575
KCNQ5	6	72621792	73198851
CCR4	3	32951574	32956349
PNMA2	8	26504686	26514092
TCEA3	1	23381061	23424740
HHIPL2	1	222522258	222548103
MAGEA3	X	152698752	152702347
TYROBP	19	35904401	35908295
GMIP	19	19629476	19643667
FAM25A	10	87020306	87024730
MYO5B	18	49822813	50195093
DSTN	20	17569863	17609919
AGER	CHR_HSCHR6_MHC_SSTO_CTG1	32188640	32191996
APPL2	12	105173296	105236238
MTMR4	17	58489529	58517905
MMRN2	10	86935540	86969481
DAB2IP	9	121567057	121785530
ATAT1	CHR_HSCHR6_MHC_SSTO_CTG1	30619065	30639047
C1S	12	6988259	7071032
MPV17L	16	15395754	15413268
MUC4	CHR_HSCHR3_3_CTG3	195744429	195789161
AQP10	1	154321090	154325325
FAM206A	9	108934181	108950744
BIN3	8	22620418	22669148
CENPM	22	41938721	41947164
RSRC1	3	158105855	158545730
ZC2HC1C	14	75064170	75079987
WDR46	CHR_HSCHR6_MHC_QBL_CTG1	33207935	33218358
PLEKHM1	CHR_HSCHR17_2_CTG5	45435902	45490401
SPPL3	12	120762510	120904371
SPINK1	5	147824568	147831786
FAM162A	3	122384176	122412334
MAP3K1	5	56815574	56896152
EMID1	22	29205851	29259597
WISP1	8	133191039	133230344
SLC18A1	8	20144855	20183206
RETNLB	3	108743424	108757384
SLC17A2	6	25912754	25930726
CTHRC1	8	103371515	103382997
YJEFN3	19	19528861	19537581
GALNTL6	4	171812254	173041559
ZNF480	19	52297177	52325922
TMED10	14	75131470	75176631
WDR36	5	111091716	111130502
OR2A2	7	144109514	144110564
ACAN	15	88803443	88875354
KANK3	19	8322584	8343262
REV1	2	99400475	99490035
SH3GL1	19	4360370	4400547
RLN2	9	5299868	5304969
CCL18	CHR_HSCHR17_7_CTG4	36064636	36072388
CDK5RAP1	20	33358839	33401561
BACH2	6	89926529	90296908
PLXDC2	10	19816239	20289856
PAK1IP1	6	10694695	10709782
UBE2W	8	73780097	73878910
FKBP15	9	113161006	113221361
THUMPD2	2	39736060	39779267
MEGF8	19	42325609	42378769
MBNL1	3	152243828	152465780
NPL	1	182789293	182830384
ACP2	11	47239302	47248906
AASS	7	122075647	122144280
TRPV5	CHR_HSCHR7_2_CTG6	142969288	142994995
ARIH1	15	72474326	72602985
AQP5	12	49961870	49965681
SLC16A14	2	230034974	230068999
SLC25A46	5	110738136	110765161
VRK1	14	96797304	96931722
B3GAT2	6	70856679	70957038
METTL11B	1	170146001	170167790
EXOC6B	2	72175984	72826041
TIMM8A	X	101345661	101349196
ANKFN1	17	56110958	56511659
PTP4A2	1	31906421	31944856
IL1B	2	112829751	112836903
UBE2G1	17	4269259	4366628
TCP10L2	6	167146414	167196913
SAMD15	14	77376689	77391497
U2AF1	21	43092956	43107587
LILRB5	19	54249431	54257301
EMILIN2	18	2847030	2915993
CRHBP	5	76952713	76981158
PPM1A	14	60245752	60299087
CD160	1	145719471	145739288
MFI2	3	196988621	197029816
ERGIC3	20	35542021	35557634
CTSD	11	1752752	1763992
ARPP19	15	52547045	52569883
SIN3B	19	16829400	16880353
POLD1	19	50384204	50418018
C14orf159	14	91060333	91225632
PYROXD2	10	98383565	98415184
BSPRY	9	113349541	113371233
SLC41A1	1	205789093	205813748
MSS51	10	73423579	73433561
FAM171A2	17	44353215	44363875
RGMB	5	98768650	98798643
TAF1B	2	9843354	9934416
ZNF283	19	43827292	43852017
TOPBP1	3	133598175	133661893
OR6C4	12	55551199	55552244
MBOAT7	CHR_HSCHR19LRC_PGF1_CTG3_1	54173824	54190479
NABP2	12	56222015	56229854
TCHHL1	1	152084144	152089064
MTPAP	10	30309801	30374448
TLE1	9	81583683	81689305
SMPX	X	21705972	21758163
TMEM88B	1	1426128	1427787
LY6D	8	142784880	142786592
BMP8A	1	39491646	39525935
ZNF766	19	52269571	52296046
SARDH	9	133663560	133739955
YAP1	11	102110461	102233423
DOCK5	8	25184723	25418082
RPS12	6	132814441	132817564
NFATC4	14	24365673	24379604
NOS1	12	117208142	117452170
GPR85	7	113078331	113087778
